coverage_id,requirement_id,description,coverage_type,risk_level,related_techniques,tags,notes
COV-AI-047,REQ-TODO-057,Missing test for active count increase on creation of active todo,Functional,Medium,['Equivalence Partitioning'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-048,REQ-TODO-058,Missing test for active count decrease on completion of active todo,Functional,Medium,['Equivalence Partitioning'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-049,REQ-TODO-059,Missing test for active count increase when completed todo becomes active,Functional,Medium,['Equivalence Partitioning'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-050,REQ-TODO-060,Missing test for active count decrease on deletion of active todo,Functional,Medium,['Equivalence Partitioning'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-051,REQ-TODO-061,Missing test for local storage save failure handling,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-052,REQ-TODO-062,Missing test for local storage save failure on completion state,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-053,REQ-TODO-063,Missing test for local storage save failure on edit,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-054,REQ-TODO-064,Missing test for local storage removal failure,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-055,REQ-TODO-065,Missing test for local storage restore with partial data,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-056,REQ-TODO-066,Missing test for filter state restore when local storage is missing,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-057,REQ-TODO-067,Missing test for missing local storage data with multiple items,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-058,REQ-TODO-068,Missing test for corrupted local storage with invalid JSON,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-059,REQ-TODO-069,Missing test for todo text with 101 characters,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-060,REQ-TODO-070,Missing test for todo text with 99 characters,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-061,REQ-TODO-071,Missing test for todo text with 2 characters,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-062,REQ-TODO-072,Missing test for todo text with 1 character after trimming,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-063,REQ-TODO-073,Missing test for todo text with only whitespace,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-064,REQ-TODO-074,Missing test for error message display on invalid input,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-065,REQ-TODO-075,Missing test for validation message removal after valid input,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-066,REQ-TODO-076,Test rapid Enter presses causing race condition,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-067,REQ-TODO-077,Test selecting all when some items are already selected,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-068,REQ-TODO-078,Test unselecting all when no items are selected,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-069,REQ-TODO-079,Test deleting selected items when selection is empty,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-070,REQ-TODO-080,Test marking completed when some items are already completed,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-071,REQ-TODO-081,Test marking active when some items are already active,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-072,REQ-TODO-082,Test count update failure after bulk operation,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-073,REQ-TODO-083,Test search with special characters causing errors,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-074,REQ-TODO-084,Test search with very long term causing truncation,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-075,REQ-TODO-085,Test search with null or undefined term,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-076,REQ-TODO-086,Test search with Unicode characters for case insensitivity,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-077,REQ-TODO-087,Test search update when item edited but search term unchanged,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-078,REQ-TODO-088,Test clearing search when no search is active,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-079,REQ-TODO-089,Test keyboard focus when input is disabled,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-080,REQ-TODO-090,Test Tab key focus at last item,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-081,REQ-TODO-091,Test Space key toggle on already toggled item,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-082,REQ-TODO-092,Test delete shortcut on non-existent item,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-083,REQ-TODO-093,Test accessible labels missing for dynamic controls,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-084,REQ-TODO-094,Test screen reader state update failure,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-085,REQ-TODO-095,Test color contrast at minimum threshold,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-086,REQ-TODO-096,Test focus visibility when element is hidden,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-087,REQ-TODO-097,Test sanitization with maximum length text,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-088,REQ-TODO-098,Test script execution prevention with encoded scripts,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-089,REQ-TODO-099,Test metadata storage with sensitive data patterns,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
COV-AI-090,REQ-TODO-100,Test unauthorized access with expired session,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 22 missing coverage items across requirements, focusing on error handling, state transitions, and boundary conditions not covered by existing tests."
